churned,tenure_months,monthly_charges,contract_type,support_tickets,age,payment_method
No,70,23.3,Two year,3.0,55,Bank transfer
No,34,70.33,Month-to-month,2.0,62,Credit card
No,59,32.31,One year,0.0,24,Credit card
No,67,37.63,Month-to-month,5.0,79,Paypal
No,60,106.05,Month-to-month,3.0,42,Cash
No,46,68.42,Two year,4.0,35,Cash
No,32,38.37,One year,3.0,71,Cash
No,38,86.99,Month-to-month,0.0,50,Cash
Yes,20,46.59,Month-to-month,6.0,26,Paypal
No,36,72.69,One year,2.0,31,Bank transfer
No,28,48.3,Month-to-month,1.0,40,Paypal
No,18,71.62,Month-to-month,4.0,23,Credit card
No,72,82.85,Month-to-month,2.0,49,Paypal
No,1,73.62,One year,4.0,45,Bank transfer
No,7,59.56,Month-to-month,3.0,58,Credit card
Yes,14,99.08,One year,3.0,63,Paypal
No,70,107.34,Month-to-month,0.0,26,Cash
No,50,37.94,One year,1.0,67,Cash
No,64,33.63,Month-to-month,6.0,69,Bank transfer
No,15,31.32,Two year,6.0,19,Cash
No,52,117.96,Two year,3.0,65,Paypal
Yes,27,114.16,Month-to-month,3.0,77,Bank transfer
No,36,43.07,Month-to-month,,42,Credit card
Yes,1,116.99,Two year,5.0,33,Credit card
No,45,40.78,Month-to-month,4.0,52,Paypal
No,60,70.65,Two year,3.0,36,Cash
No,48,69.74,Month-to-month,1.0,31,Bank transfer
No,12,111.5,One year,0.0,70,Bank transfer
No,39,24.05,Month-to-month,6.0,55,Credit card
No,20,51.54,One year,1.0,74,Bank transfer
No,70,80.0,Two year,4.0,63,Paypal
No,64,26.64,Month-to-month,0.0,64,Bank transfer
No,14,43.66,Two year,4.0,67,Paypal
No,37,66.51,One year,1.0,38,Cash
No,68,108.09,Month-to-month,4.0,26,Credit card
No,61,96.1,Month-to-month,1.0,47,Bank transfer
No,51,102.9,Month-to-month,3.0,79,Bank transfer
No,47,96.11,Month-to-month,2.0,70,Cash
No,4,90.77,One year,3.0,63,Paypal
No,54,104.97,Month-to-month,2.0,40,Bank transfer
No,35,88.15,One year,2.0,31,Credit card
No,7,93.57,Two year,2.0,68,Paypal
No,18,50.16,Two year,4.0,45,Cash
No,39,36.76,Two year,5.0,67,Bank transfer
No,53,95.65,Two year,2.0,31,Cash
No,37,36.58,Month-to-month,0.0,47,Bank transfer
No,45,111.95,Two year,,68,Paypal
No,63,79.66,Month-to-month,0.0,74,Paypal
No,50,52.94,Two year,4.0,20,Bank transfer
No,27,113.66,Two year,5.0,42,Cash
No,47,35.51,One year,1.0,34,Cash
No,44,71.45,One year,3.0,65,Cash
No,8,29.16,Month-to-month,3.0,67,Bank transfer
No,5,116.54,One year,3.0,58,Bank transfer
No,48,77.54,Month-to-month,6.0,64,Credit card
Yes,28,100.37,Month-to-month,1.0,38,Paypal
Yes,44,48.19,Month-to-month,4.0,21,Cash
No,24,100.18,Two year,3.0,51,Bank transfer
No,17,90.28,Two year,6.0,19,Cash
No,11,84.37,Month-to-month,1.0,56,Paypal
Yes,28,115.06,Month-to-month,6.0,56,Paypal
No,59,63.35,Month-to-month,6.0,51,Paypal
No,29,61.51,Month-to-month,3.0,71,Bank transfer
Yes,28,89.21,Month-to-month,5.0,24,Cash
No,42,103.51,One year,4.0,43,Cash
No,71,53.51,Month-to-month,2.0,80,Paypal
Yes,29,86.97,Month-to-month,,34,Cash
No,43,40.9,Month-to-month,0.0,78,Cash
No,32,75.17,One year,0.0,18,Bank transfer
Yes,44,96.92,Month-to-month,6.0,20,Cash
No,33,26.53,Month-to-month,5.0,31,Cash
No,46,92.78,Month-to-month,2.0,77,Credit card
No,40,21.54,Two year,6.0,58,Credit card
Yes,49,115.84,Month-to-month,4.0,51,Paypal
No,69,66.87,One year,1.0,25,Bank transfer
Yes,11,60.91,Month-to-month,6.0,25,Paypal
No,41,92.04,Two year,6.0,72,Credit card
No,32,72.33,Month-to-month,5.0,69,Credit card
No,26,93.08,One year,4.0,21,Credit card
No,18,28.48,Two year,6.0,45,Credit card
No,4,76.28,One year,5.0,52,Paypal
Yes,29,75.81,Month-to-month,3.0,62,Cash
No,60,113.21,Month-to-month,5.0,18,Credit card
No,7,23.96,Two year,5.0,70,Paypal
No,30,65.28,Month-to-month,0.0,51,Paypal
No,70,83.11,Month-to-month,3.0,51,Credit card
No,69,75.07,Two year,6.0,40,Cash
No,16,27.42,Month-to-month,1.0,21,Paypal
No,1,79.32,Month-to-month,4.0,76,Bank transfer
No,49,42.22,Month-to-month,,69,Bank transfer
No,2,39.55,Month-to-month,4.0,70,Cash
Yes,22,107.87,Month-to-month,2.0,61,Paypal
Yes,36,39.78,One year,4.0,48,Paypal
Yes,63,65.43,Month-to-month,5.0,75,Paypal
Yes,7,95.03,Month-to-month,5.0,24,Bank transfer
No,48,90.73,Two year,5.0,35,Bank transfer
No,39,75.35,Two year,1.0,46,Credit card
No,10,100.7,One year,0.0,67,Bank transfer
No,61,66.58,Month-to-month,3.0,39,Paypal
No,61,82.04,One year,1.0,73,Credit card
No,35,101.89,One year,4.0,37,Credit card
No,69,87.81,Month-to-month,2.0,40,Credit card
No,44,84.18,Two year,5.0,38,Credit card
No,66,60.61,Month-to-month,3.0,43,Cash
No,70,75.83,One year,3.0,69,Bank transfer
Yes,42,59.61,Month-to-month,6.0,39,Paypal
No,21,94.43,One year,4.0,48,Cash
No,11,58.04,One year,6.0,18,Paypal
No,41,66.66,One year,1.0,52,Bank transfer
Yes,14,95.55,Month-to-month,6.0,32,Bank transfer
No,55,70.37,Two year,1.0,48,Credit card
No,67,53.8,One year,5.0,38,Paypal
No,18,102.68,Month-to-month,0.0,41,Paypal
Yes,40,58.1,Month-to-month,4.0,24,Bank transfer
No,4,104.47,One year,6.0,46,Credit card
No,13,98.52,Month-to-month,1.0,66,Paypal
No,28,64.73,One year,1.0,56,Cash
No,64,91.29,One year,2.0,44,Paypal
No,70,23.44,One year,0.0,71,Bank transfer
No,47,58.98,Two year,0.0,53,Credit card
No,43,106.03,Month-to-month,2.0,56,Cash
No,42,77.95,Month-to-month,5.0,35,Paypal
No,5,75.78,Month-to-month,2.0,61,Credit card
No,28,86.47,Two year,1.0,40,Cash
No,71,87.77,Month-to-month,1.0,30,Credit card
No,30,78.36,One year,0.0,65,Cash
No,16,62.06,Month-to-month,2.0,54,Paypal
No,18,38.35,Two year,2.0,47,Paypal
No,52,49.26,Two year,3.0,62,Cash
No,3,49.29,Month-to-month,2.0,55,Cash
No,70,63.07,Two year,4.0,65,Credit card
No,64,119.91,One year,,44,Cash
No,41,55.26,Month-to-month,0.0,80,Paypal
No,34,64.74,Month-to-month,0.0,53,Bank transfer
No,55,57.16,Month-to-month,1.0,47,Bank transfer
No,40,78.14,One year,1.0,74,Paypal
No,35,114.79,Month-to-month,0.0,80,Cash
Yes,24,108.91,Month-to-month,6.0,34,Paypal
No,33,57.71,Month-to-month,0.0,32,Credit card
No,55,46.69,One year,5.0,50,Credit card
No,4,108.44,Two year,0.0,22,Cash
No,2,69.38,Two year,4.0,61,Paypal
No,52,88.55,Month-to-month,2.0,60,Paypal
No,27,27.33,One year,3.0,23,Bank transfer
Yes,58,106.66,Month-to-month,3.0,34,Bank transfer
No,3,51.3,Month-to-month,1.0,78,Credit card
No,66,69.45,Two year,0.0,29,Cash
Yes,9,39.8,Month-to-month,6.0,49,Credit card
No,30,62.02,Two year,5.0,60,Paypal
No,70,102.8,One year,5.0,33,Cash
Yes,8,102.76,Month-to-month,4.0,39,Cash
No,48,67.37,One year,3.0,65,Bank transfer
Yes,53,96.79,Month-to-month,5.0,44,Cash
No,31,65.81,Two year,1.0,69,Credit card
No,6,57.34,Month-to-month,4.0,21,Credit card
No,38,74.59,Month-to-month,1.0,57,Credit card
No,32,40.13,One year,4.0,39,Credit card
No,63,51.66,Month-to-month,2.0,75,Bank transfer
No,50,90.65,Month-to-month,2.0,45,Credit card
No,25,97.05,One year,2.0,23,Paypal
No,5,25.67,Month-to-month,4.0,70,Bank transfer
No,43,93.28,One year,0.0,51,Credit card
Yes,21,101.74,One year,5.0,21,Paypal
No,50,64.52,Two year,2.0,64,Bank transfer
No,63,26.25,Month-to-month,6.0,54,Cash
No,26,88.29,One year,3.0,75,Cash
No,66,44.62,Two year,0.0,62,Paypal
Yes,38,84.34,Month-to-month,2.0,58,Credit card
No,39,57.66,One year,3.0,31,Bank transfer
No,56,83.72,Month-to-month,2.0,55,Bank transfer
No,57,45.81,Two year,1.0,28,Cash
No,66,67.65,One year,2.0,42,Paypal
No,72,72.47,Two year,5.0,45,Credit card
No,11,83.1,One year,2.0,54,Paypal
No,30,40.32,Two year,1.0,31,Bank transfer
Yes,68,116.21,Month-to-month,4.0,52,Paypal
Yes,23,48.91,One year,5.0,38,Paypal
Yes,1,50.6,Month-to-month,3.0,75,Credit card
No,42,45.63,Month-to-month,5.0,80,Credit card
No,55,26.75,Month-to-month,1.0,70,Paypal
No,54,62.29,One year,1.0,32,Bank transfer
No,59,97.18,One year,5.0,64,Bank transfer
No,47,90.96,Two year,5.0,79,Bank transfer
Yes,10,39.56,Month-to-month,3.0,76,Credit card
No,61,33.69,Month-to-month,3.0,72,Paypal
No,31,52.14,Month-to-month,3.0,22,Bank transfer
No,62,96.83,Two year,1.0,27,Credit card
No,59,68.81,One year,4.0,66,Paypal
No,70,112.32,One year,,37,Credit card
Yes,2,85.64,One year,5.0,47,Paypal
Yes,63,82.09,One year,3.0,48,Cash
Yes,46,96.77,Month-to-month,,65,Bank transfer
Yes,35,95.03,Month-to-month,5.0,64,Bank transfer
No,58,54.38,Month-to-month,5.0,36,Credit card
No,69,45.7,Two year,1.0,67,Bank transfer
No,37,63.76,One year,4.0,47,Paypal
Yes,7,68.92,Month-to-month,5.0,54,Paypal
Yes,53,34.17,Month-to-month,5.0,69,Paypal
Yes,17,64.13,Month-to-month,6.0,35,Cash
No,17,83.98,One year,1.0,20,Cash
No,14,33.57,One year,4.0,59,Paypal
No,15,33.8,Two year,4.0,36,Credit card
No,66,37.37,Month-to-month,2.0,34,Paypal
No,27,48.33,Month-to-month,1.0,48,Cash
No,8,116.17,One year,3.0,73,Bank transfer
No,13,22.58,Two year,1.0,71,Cash
No,29,38.37,One year,4.0,64,Cash
No,25,36.5,Month-to-month,0.0,35,Bank transfer
No,23,67.43,Two year,2.0,77,Paypal
No,69,21.51,Month-to-month,2.0,69,Bank transfer
No,63,65.82,Two year,,20,Paypal
No,42,36.29,Month-to-month,0.0,33,Credit card
No,72,46.96,Month-to-month,2.0,25,Bank transfer
No,25,99.24,Two year,4.0,37,Bank transfer
No,10,38.41,Month-to-month,3.0,60,Credit card
No,20,81.71,Two year,5.0,52,Credit card
No,7,60.63,One year,6.0,27,Cash
No,69,61.76,One year,5.0,59,Bank transfer
Yes,16,101.68,Month-to-month,2.0,55,Paypal
No,33,36.09,One year,0.0,73,Paypal
Yes,15,112.38,Month-to-month,0.0,37,Bank transfer
No,71,109.35,Two year,4.0,73,Credit card
No,12,86.83,Two year,0.0,59,Cash
Yes,38,24.94,Month-to-month,5.0,33,Cash
No,69,86.33,Month-to-month,4.0,38,Bank transfer
No,38,80.03,Two year,0.0,64,Paypal
No,65,97.22,Month-to-month,5.0,61,Credit card
No,65,41.38,Month-to-month,1.0,58,Bank transfer
Yes,56,115.34,Month-to-month,6.0,43,Credit card
No,54,108.62,Month-to-month,1.0,42,Cash
No,42,31.44,Month-to-month,3.0,53,Credit card
No,42,51.52,One year,3.0,66,Credit card
No,60,23.24,Two year,2.0,33,Credit card
No,31,103.09,Two year,1.0,74,Cash
No,69,111.51,Month-to-month,0.0,30,Bank transfer
Yes,64,118.98,Month-to-month,3.0,48,Cash
Yes,27,81.19,Month-to-month,6.0,37,Credit card
No,30,86.6,Two year,2.0,75,Cash
Yes,52,87.84,Month-to-month,2.0,29,Cash
No,67,77.01,One year,4.0,26,Bank transfer
Yes,7,115.24,Two year,6.0,61,Bank transfer
Yes,5,80.79,Month-to-month,3.0,28,Paypal
Yes,18,53.57,Month-to-month,6.0,80,Cash
No,31,71.29,One year,4.0,66,Paypal
Yes,12,21.87,Month-to-month,5.0,73,Bank transfer
No,38,92.41,Two year,1.0,37,Cash
No,39,89.39,Month-to-month,3.0,65,Cash
No,69,62.11,Month-to-month,4.0,54,Cash
No,54,105.15,Month-to-month,2.0,44,Bank transfer
No,19,95.55,One year,5.0,49,Bank transfer
No,57,53.67,Month-to-month,2.0,19,Bank transfer
No,59,27.75,Two year,5.0,27,Paypal
No,49,33.22,Two year,3.0,25,Bank transfer
No,49,38.43,Two year,0.0,65,Cash
No,23,50.39,Month-to-month,0.0,34,Cash
No,52,64.75,Month-to-month,6.0,64,Paypal
Yes,10,112.8,Month-to-month,4.0,62,Bank transfer
No,46,47.84,Two year,4.0,27,Bank transfer
No,67,109.86,One year,5.0,38,Credit card
No,70,88.05,Month-to-month,1.0,34,Paypal
No,22,105.35,One year,2.0,25,Bank transfer
No,24,60.33,Two year,3.0,68,Credit card
No,45,20.33,Two year,4.0,41,Credit card
No,29,98.7,One year,3.0,75,Cash
No,53,44.55,Two year,1.0,71,Bank transfer
No,15,34.25,Two year,3.0,72,Credit card
Yes,13,99.95,Month-to-month,2.0,64,Paypal
No,4,88.63,Month-to-month,1.0,49,Credit card
No,34,41.24,One year,1.0,44,Bank transfer
No,16,46.76,Month-to-month,1.0,41,Paypal
Yes,22,113.92,Month-to-month,3.0,57,Bank transfer
No,66,46.85,Two year,2.0,46,Credit card
No,59,90.24,One year,2.0,72,Cash
No,61,32.96,One year,5.0,29,Bank transfer
No,43,101.5,Two year,4.0,41,Cash
Yes,9,31.76,Month-to-month,3.0,49,Credit card
No,54,71.6,Two year,4.0,35,Cash
No,44,23.52,Two year,0.0,32,Paypal
Yes,66,75.01,Month-to-month,2.0,53,Credit card
No,35,104.66,Month-to-month,3.0,28,Credit card
No,13,28.44,Month-to-month,2.0,67,Bank transfer
No,43,47.43,Two year,1.0,41,Bank transfer
Yes,33,96.47,Month-to-month,5.0,65,Cash
No,48,80.81,Month-to-month,0.0,22,Paypal
No,28,51.28,Two year,6.0,67,Paypal
No,23,82.89,One year,6.0,47,Cash
No,10,65.47,One year,4.0,71,Paypal
No,70,106.24,One year,2.0,61,Cash
No,55,49.29,Month-to-month,2.0,68,Paypal
Yes,34,95.77,Month-to-month,3.0,59,Paypal
Yes,17,83.57,Month-to-month,4.0,24,Credit card
No,46,94.04,Month-to-month,2.0,79,Credit card
No,30,57.83,One year,3.0,42,Credit card
No,46,92.49,One year,0.0,73,Cash
No,7,89.84,One year,6.0,50,Bank transfer
Yes,14,58.75,One year,6.0,57,Cash
No,53,22.65,Month-to-month,1.0,29,Paypal
Yes,5,116.29,Month-to-month,6.0,74,Cash
No,49,91.36,Two year,5.0,67,Bank transfer
No,30,40.47,Month-to-month,1.0,46,Cash
No,1,93.08,One year,1.0,44,Cash
No,56,47.87,Month-to-month,2.0,68,Credit card
No,51,66.93,Two year,4.0,28,Credit card
Yes,59,105.99,Month-to-month,2.0,35,Credit card
No,65,64.81,Month-to-month,5.0,26,Cash
No,53,48.8,One year,1.0,51,Paypal
No,61,50.55,One year,6.0,41,Paypal
No,9,27.7,Two year,4.0,79,Cash
No,67,41.95,One year,1.0,74,Paypal
No,66,47.11,Month-to-month,5.0,55,Bank transfer
No,50,37.3,Month-to-month,2.0,66,Credit card
No,58,26.31,One year,,49,Credit card
No,54,66.58,Two year,4.0,44,Credit card
No,64,41.44,Month-to-month,4.0,67,Cash
No,65,93.88,One year,0.0,40,Paypal
No,38,112.25,Month-to-month,0.0,37,Credit card
No,59,47.3,Month-to-month,4.0,26,Paypal
No,66,77.22,One year,1.0,70,Cash
No,22,70.67,One year,0.0,67,Credit card
No,4,27.51,Two year,3.0,19,Bank transfer
No,13,32.49,One year,6.0,71,Cash
Yes,3,108.48,Month-to-month,4.0,33,Paypal
No,32,67.42,One year,2.0,73,Paypal
Yes,2,100.46,Month-to-month,2.0,29,Credit card
No,19,26.66,Month-to-month,4.0,27,Credit card
Yes,19,79.48,Month-to-month,3.0,34,Bank transfer
No,51,106.53,Month-to-month,3.0,76,Credit card
Yes,18,106.71,Month-to-month,5.0,77,Credit card
No,69,20.57,Month-to-month,0.0,59,Bank transfer
No,14,72.17,Month-to-month,0.0,19,Paypal
No,70,56.9,Month-to-month,6.0,56,Cash
Yes,41,96.0,Month-to-month,1.0,36,Cash
No,18,27.32,Two year,5.0,63,Cash
No,3,46.49,Two year,2.0,54,Credit card
Yes,23,101.26,Month-to-month,5.0,73,Cash
No,43,66.96,One year,6.0,62,Paypal
No,8,65.32,Two year,6.0,37,Credit card
Yes,12,116.86,Month-to-month,1.0,66,Cash
No,9,51.99,One year,3.0,33,Bank transfer
No,49,24.17,Month-to-month,0.0,42,Bank transfer
No,7,59.22,One year,1.0,32,Credit card
No,2,35.34,Two year,2.0,31,Paypal
No,33,28.19,Month-to-month,0.0,43,Bank transfer
Yes,23,76.79,Two year,4.0,71,Bank transfer
No,42,115.36,One year,1.0,46,Paypal
No,68,77.94,One year,1.0,25,Paypal
No,62,84.71,One year,4.0,65,Credit card
No,39,52.36,Two year,5.0,22,Bank transfer
No,47,77.11,Month-to-month,6.0,53,Bank transfer
No,59,95.22,One year,1.0,32,Paypal
No,32,78.93,Month-to-month,5.0,74,Credit card
Yes,48,100.28,One year,4.0,49,Credit card
No,16,75.05,One year,5.0,44,Paypal
No,44,39.81,Month-to-month,1.0,77,Cash
No,18,78.27,Month-to-month,3.0,46,Bank transfer
Yes,14,69.09,One year,6.0,63,Bank transfer
No,55,36.59,Two year,4.0,45,Credit card
No,42,81.92,One year,1.0,53,Bank transfer
No,28,101.7,Month-to-month,0.0,49,Cash
No,3,33.51,One year,5.0,50,Cash
No,18,74.49,Month-to-month,0.0,45,Bank transfer
No,58,93.37,One year,5.0,61,Credit card
No,34,60.3,One year,4.0,47,Bank transfer
No,70,47.0,One year,1.0,57,Credit card
No,65,57.23,Month-to-month,1.0,63,Paypal
No,62,74.17,Month-to-month,0.0,39,Credit card
No,2,88.67,One year,2.0,28,Paypal
No,4,75.92,Month-to-month,4.0,23,Cash
No,42,30.7,One year,2.0,55,Bank transfer
No,25,101.79,Month-to-month,3.0,30,Credit card
Yes,61,112.39,Month-to-month,4.0,40,Credit card
No,23,30.13,One year,3.0,67,Bank transfer
No,12,44.95,One year,,47,Paypal
No,9,37.37,Two year,5.0,57,Bank transfer
No,22,104.92,Two year,5.0,27,Paypal
No,46,111.03,Month-to-month,3.0,68,Credit card
No,10,24.43,One year,1.0,55,Bank transfer
No,58,53.24,Month-to-month,3.0,20,Paypal
No,22,39.25,One year,2.0,47,Cash
Yes,23,66.95,Month-to-month,3.0,74,Cash
No,48,112.16,Month-to-month,0.0,47,Cash
No,63,27.02,Month-to-month,3.0,42,Cash
No,32,37.13,One year,0.0,19,Cash
No,58,68.7,One year,2.0,76,Cash
No,22,72.4,One year,4.0,32,Credit card
No,10,94.55,One year,1.0,55,Paypal
No,60,63.77,Month-to-month,0.0,44,Credit card
No,56,34.11,One year,2.0,52,Bank transfer
No,55,55.36,Month-to-month,6.0,25,Bank transfer
No,64,118.21,One year,1.0,69,Credit card
Yes,36,95.07,Month-to-month,6.0,28,Paypal
No,15,31.63,One year,1.0,57,Bank transfer
No,43,100.82,Month-to-month,0.0,34,Cash
No,42,51.09,Month-to-month,5.0,60,Credit card
No,28,98.14,Month-to-month,0.0,23,Paypal
No,46,21.27,Month-to-month,0.0,27,Credit card
No,19,107.13,Month-to-month,3.0,74,Cash
No,44,36.23,One year,1.0,56,Paypal
No,58,65.58,Two year,4.0,69,Paypal
Yes,7,86.18,Month-to-month,3.0,40,Cash
No,33,70.79,Month-to-month,4.0,66,Paypal
No,48,36.54,One year,2.0,22,Bank transfer
No,4,33.91,Month-to-month,1.0,63,Bank transfer
No,46,48.45,Two year,1.0,26,Credit card
No,66,25.24,Month-to-month,5.0,58,Cash
No,60,41.65,Month-to-month,2.0,48,Paypal
Yes,50,33.01,Month-to-month,5.0,57,Credit card
No,58,66.48,Month-to-month,3.0,34,Cash
Yes,27,55.65,Month-to-month,5.0,24,Cash
No,24,78.68,Month-to-month,4.0,66,Credit card
No,7,48.09,One year,4.0,47,Cash
No,52,23.39,Two year,6.0,25,Paypal
No,23,53.11,Month-to-month,3.0,44,Paypal
No,63,95.52,One year,5.0,18,Paypal
Yes,34,45.58,Month-to-month,5.0,73,Cash
No,65,60.45,One year,3.0,80,Paypal
Yes,10,95.5,Month-to-month,4.0,43,Paypal
Yes,12,60.67,Month-to-month,3.0,37,Paypal
No,25,108.71,Two year,4.0,57,Bank transfer
No,2,111.81,One year,2.0,50,Cash
No,36,51.05,Month-to-month,3.0,65,Bank transfer
No,47,93.6,Month-to-month,1.0,31,Bank transfer
No,48,45.31,Two year,4.0,41,Cash
No,16,33.95,Two year,6.0,31,Cash
No,12,63.79,One year,2.0,77,Paypal
No,41,80.25,Two year,0.0,43,Credit card
No,46,113.56,Two year,4.0,58,Cash
No,69,34.59,One year,,67,Cash
No,65,91.24,One year,4.0,56,Cash
Yes,28,67.55,Month-to-month,4.0,20,Credit card
Yes,12,33.17,Month-to-month,6.0,80,Cash
No,19,117.27,One year,4.0,70,Credit card
No,64,89.58,Two year,0.0,37,Cash
No,33,32.89,Month-to-month,1.0,80,Cash
No,72,110.58,Month-to-month,1.0,74,Bank transfer
No,48,30.31,Month-to-month,6.0,53,Bank transfer
No,43,29.27,One year,6.0,45,Bank transfer
No,8,53.16,Month-to-month,2.0,40,Cash
Yes,43,113.8,One year,6.0,34,Credit card
No,28,23.3,Month-to-month,4.0,32,Paypal
No,61,111.82,One year,2.0,25,Bank transfer
No,10,81.16,One year,0.0,29,Paypal
No,14,26.71,Month-to-month,6.0,79,Paypal
No,48,76.86,Month-to-month,6.0,38,Cash
No,49,65.88,Month-to-month,5.0,31,Credit card
No,60,76.4,One year,0.0,71,Paypal
Yes,38,93.72,Month-to-month,3.0,55,Paypal
Yes,28,87.86,Month-to-month,2.0,18,Cash
Yes,23,119.72,Month-to-month,4.0,33,Paypal
No,27,35.67,Month-to-month,6.0,67,Paypal
No,48,101.29,Two year,3.0,35,Bank transfer
No,39,61.11,Two year,6.0,60,Paypal
No,22,98.33,Two year,1.0,54,Cash
No,16,109.18,Two year,6.0,19,Credit card
Yes,52,119.2,One year,6.0,26,Cash
No,18,46.6,Month-to-month,5.0,22,Bank transfer
No,16,65.29,Two year,6.0,69,Cash
No,24,114.28,One year,1.0,64,Bank transfer
No,62,114.57,One year,1.0,26,Cash
No,33,57.29,One year,0.0,60,Bank transfer
Yes,43,114.02,Two year,5.0,27,Paypal
No,6,60.59,Month-to-month,3.0,37,Credit card
No,25,57.48,One year,2.0,61,Credit card
No,55,95.66,One year,0.0,72,Paypal
No,56,67.12,Month-to-month,1.0,36,Cash
No,42,64.82,Month-to-month,6.0,31,Credit card
No,64,58.61,Month-to-month,0.0,19,Bank transfer
No,22,63.28,Month-to-month,0.0,44,Credit card
No,12,33.98,Month-to-month,1.0,53,Paypal
No,6,26.1,Month-to-month,2.0,25,Paypal
No,15,95.4,Two year,1.0,59,Paypal
No,55,76.45,One year,1.0,58,Credit card
No,66,87.19,One year,3.0,27,Cash
No,10,100.23,Two year,0.0,23,Bank transfer
No,37,43.01,Month-to-month,6.0,30,Cash
No,10,43.38,One year,3.0,29,Paypal
No,61,47.79,Month-to-month,2.0,29,Paypal
No,10,50.39,Month-to-month,0.0,66,Paypal
No,47,96.07,Two year,,32,Credit card
Yes,6,57.42,Month-to-month,6.0,49,Bank transfer
No,54,52.32,One year,2.0,66,Cash
No,66,83.63,Two year,,59,Credit card
No,53,38.66,One year,1.0,44,Cash
No,20,30.64,One year,2.0,64,Bank transfer
Yes,61,89.71,Month-to-month,2.0,19,Paypal
No,23,95.64,Month-to-month,5.0,56,Paypal
No,55,49.64,One year,2.0,39,Cash
Yes,60,83.6,Month-to-month,5.0,30,Paypal
No,35,23.41,Month-to-month,6.0,29,Paypal
No,45,60.43,Month-to-month,2.0,62,Credit card
No,62,77.8,Two year,1.0,78,Credit card
Yes,14,45.34,Month-to-month,5.0,25,Cash
Yes,2,54.82,Month-to-month,6.0,37,Credit card
No,32,80.95,Two year,6.0,34,Bank transfer
No,14,78.99,Month-to-month,0.0,48,Paypal
No,64,35.42,Two year,4.0,46,Cash
No,63,90.66,Two year,0.0,60,Bank transfer
No,28,28.0,One year,2.0,25,Bank transfer
Yes,23,116.97,Month-to-month,,49,Bank transfer
Yes,52,40.24,Month-to-month,6.0,24,Credit card
No,33,45.35,Month-to-month,,68,Paypal
No,7,40.03,Month-to-month,6.0,59,Credit card
Yes,48,119.15,Month-to-month,5.0,73,Credit card
No,53,48.66,Month-to-month,2.0,64,Bank transfer
No,6,80.53,Two year,6.0,61,Bank transfer
No,56,119.06,One year,0.0,41,Paypal
No,39,115.01,Two year,1.0,71,Cash
No,60,24.23,One year,6.0,42,Paypal
No,62,72.12,Month-to-month,0.0,33,Cash
No,49,80.13,One year,4.0,31,Cash
Yes,25,90.24,Month-to-month,6.0,50,Credit card
No,27,53.59,Month-to-month,1.0,50,Cash
