age,annual_income_k,monthly_spend,avg_visits_per_month,gender
53,42,466.0,8.2,Male
41,67,580.0,9.5,Female
47,67,875.0,7.8,Male
52,49,414.0,10.5,Male
43,51,650.0,8.3,Female
50,78,625.0,7.3,Male
36,57,645.0,7.9,Female
53,33,284.0,7.6,Male
48,71,696.0,7.1,Female
48,70,615.0,5.2,Female
44,84,925.0,6.9,Male
48,75,377.0,6.8,Female
45,129,343.0,5.7,Male
30,67,582.0,7.2,Female
54,68,566.0,4.2,Female
39,71,756.0,4.8,Male
61,79,620.0,7.0,Female
50,67,374.0,5.4,Male
37,75,603.0,8.1,Female
40,87,655.0,6.3,Male
42,60,580.0,7.7,Female
35,67,509.0,5.8,Female
48,74,750.0,7.6,Female
43,68,984.0,7.2,Female
44,71,603.0,6.5,Male
71,92,820.0,6.1,Female
42,78,760.0,7.6,Male
37,66,710.0,4.9,Male
62,75,666.0,6.5,Male
51,67,538.0,9.5,Male
47,73,544.0,8.7,Male
49,86,452.0,8.3,Female
37,88,652.0,6.5,Female
46,51,707.0,9.0,Male
38,69,698.0,8.5,Male
34,57,838.0,5.0,Other
47,50,686.0,5.1,Female
43,89,702.0,9.2,Female
44,80,477.0,9.3,Male
48,69,930.0,6.4,Female
37,71,679.0,8.7,Female
39,79,590.0,8.0,Male
47,71,438.0,6.3,Female
38,68,1104.0,6.6,Female
40,97,554.0,9.1,Male
51,87,612.0,6.4,Male
45,101,685.0,5.4,Male
50,73,700.0,6.0,Male
46,85,800.0,7.2,Female
44,70,687.0,7.8,Female
40,85,754.0,7.1,Female
51,71,585.0,6.3,Female
36,79,502.0,6.5,Male
42,81,387.0,9.1,Female
45,54,1002.0,7.3,Female
44,75,706.0,8.7,Male
47,89,919.0,4.5,Male
42,100,614.0,2.4,Female
44,73,759.0,3.4,Male
50,61,735.0,6.6,Female
58,60,470.0,8.0,Female
40,78,644.0,6.1,Female
45,92,506.0,5.7,Male
44,95,685.0,7.2,Male
45,86,728.0,7.8,Female
47,104,526.0,4.7,Female
41,71,712.0,7.1,Female
52,80,964.0,7.6,Female
42,82,573.0,10.1,Male
56,86,611.0,7.1,Female
47,72,720.0,5.3,Other
41,98,632.0,6.6,Male
49,68,619.0,6.5,Female
49,73,601.0,10.5,Male
43,77,974.0,6.1,Male
44,80,512.0,7.5,Male
45,54,749.0,8.6,Male
36,69,874.0,6.1,Female
45,77,669.0,7.1,Male
48,54,1088.0,7.2,Female
44,70,557.0,7.9,Female
45,52,439.0,7.9,Female
43,83,624.0,6.9,Female
34,76,,9.5,Female
37,69,558.0,6.5,Other
33,76,590.0,7.4,Male
59,43,898.0,5.8,Female
45,64,510.0,7.0,Male
41,84,621.0,7.5,Male
49,80,906.0,8.6,Female
50,51,833.0,9.9,Male
39,90,464.0,6.6,Female
45,69,811.0,8.9,Female
43,77,715.0,6.2,Female
46,57,682.0,7.4,Female
52,94,998.0,7.0,Female
39,89,888.0,7.7,Male
45,76,800.0,5.6,Female
71,82,1233.0,12.3,Male
58,120,1401.0,11.0,Female
57,86,1929.0,15.3,Female
63,106,1332.0,10.9,Other
71,85,1769.0,13.1,Male
62,111,2273.0,8.7,Male
72,91,839.0,10.4,Female
58,66,1004.0,10.6,Male
61,75,2030.0,11.7,Male
51,109,1885.0,8.3,Male
65,83,1341.0,11.6,Male
58,92,1580.0,9.1,Female
44,95,1049.0,10.6,Male
69,82,1552.0,10.8,Male
55,79,1595.0,13.2,Female
59,72,1550.0,16.1,Other
67,78,939.0,11.5,Female
69,75,755.0,9.1,Male
69,88,909.0,12.6,Female
63,110,1466.0,15.4,Female
59,88,1475.0,16.5,Female
52,108,904.0,12.9,Female
68,95,673.0,13.4,Male
49,97,1644.0,11.7,Male
64,79,2056.0,13.7,Male
68,120,1306.0,12.4,Male
62,67,2246.0,11.1,Other
69,102,1256.0,7.6,Female
50,108,1495.0,12.3,Male
62,100,896.0,9.7,Male
64,89,1472.0,14.9,Male
55,98,1859.0,12.9,Male
68,98,591.0,10.2,Male
58,110,1535.0,8.9,Male
59,82,1422.0,6.4,Female
59,83,1087.0,7.7,Male
70,71,922.0,12.6,Male
64,94,1159.0,8.4,Female
58,97,1456.0,13.6,Female
69,132,1002.0,8.0,Male
60,97,1468.0,9.8,Female
70,83,1916.0,13.1,Female
52,75,1305.0,10.4,Female
71,111,1719.0,9.5,Female
73,86,1315.0,9.0,Male
65,111,1390.0,11.1,Male
78,115,2088.0,12.5,Male
50,100,957.0,10.5,Male
60,103,1507.0,11.2,Male
64,115,1229.0,15.6,Female
53,82,1630.0,9.7,Male
67,113,1654.0,3.9,Female
64,69,1533.0,9.6,Female
66,84,1481.0,11.5,Female
57,111,1564.0,14.7,Female
59,113,1657.0,10.3,Male
60,79,2525.0,8.1,Male
61,104,1547.0,8.5,Female
67,94,2221.0,8.7,Female
55,105,1141.0,12.4,Female
61,106,1063.0,9.0,Male
63,82,1405.0,11.9,Male
61,83,2168.0,8.1,Male
58,115,,15.0,Female
71,130,1298.0,10.8,Male
49,85,,11.1,Female
52,88,1321.0,12.5,Female
64,82,1793.0,12.7,Male
64,79,1258.0,13.9,Other
55,74,1060.0,10.1,Female
55,105,1585.0,11.9,Male
57,115,1662.0,15.0,Male
75,82,1207.0,11.2,Female
65,114,1194.0,8.9,Female
65,81,1770.0,17.8,Male
79,87,918.0,13.0,Female
44,116,1572.0,7.5,Male
61,102,1360.0,8.4,Male
68,90,1449.0,15.2,Male
50,95,1555.0,10.0,Female
76,109,1956.0,10.3,Male
56,82,1323.0,4.7,Female
69,83,1412.0,5.6,Female
64,96,615.0,8.2,Female
72,99,1171.0,10.5,Male
57,92,1651.0,12.8,Male
56,107,1485.0,3.3,Male
57,115,1317.0,8.8,Male
62,96,1029.0,9.4,Male
67,116,1466.0,15.1,Male
66,107,997.0,9.2,Female
72,83,1665.0,10.7,Male
60,88,1215.0,15.2,Female
65,82,1175.0,5.5,Female
62,96,1510.0,13.5,Female
67,96,1153.0,9.9,Male
66,98,1046.0,14.4,Female
58,81,1230.0,7.6,Female
59,112,1062.0,13.2,Male
58,105,1476.0,11.0,Female
67,114,1141.0,12.8,Male
63,80,1226.0,10.6,Female
49,103,1488.0,7.6,Male
62,84,1914.0,11.3,Female
65,94,1814.0,11.0,Female
66,102,1629.0,11.1,Male
67,80,1420.0,10.8,Male
65,96,1505.0,12.9,Male
69,69,1249.0,11.2,Male
77,92,1507.0,10.5,Male
66,84,1141.0,12.8,Male
69,96,1388.0,15.2,Female
53,102,889.0,13.6,Female
64,83,1407.0,11.4,Female
62,84,1143.0,11.5,Male
68,99,1217.0,9.5,Male
67,91,2390.0,10.2,Female
57,84,1000.0,16.3,Male
78,82,1510.0,12.1,Female
64,97,1462.0,11.1,Male
49,104,1836.0,18.5,Female
55,71,1543.0,9.9,Male
75,67,1328.0,12.0,Female
65,78,1981.0,14.5,Female
69,93,1354.0,9.8,Female
69,85,1568.0,12.2,Male
65,107,1509.0,9.7,Female
63,78,1764.0,9.3,Male
70,109,1385.0,12.6,Male
63,86,1581.0,11.3,Female
67,83,1834.0,16.4,Male
70,84,1577.0,9.2,Female
59,91,2033.0,5.7,Female
52,96,846.0,8.1,Female
62,84,2046.0,6.3,Female
66,97,945.0,13.2,Female
62,87,1572.0,11.9,Female
57,114,1661.0,10.6,Female
57,99,1687.0,10.9,Female
52,75,1606.0,19.1,Female
72,120,1235.0,11.0,Male
61,79,1232.0,15.8,Male
56,75,2157.0,10.5,Female
50,114,1508.0,12.4,Male
64,109,1505.0,14.3,Female
54,107,1783.0,14.2,Male
55,85,1327.0,11.1,Male
55,111,1296.0,6.4,Female
55,83,813.0,14.5,Other
59,88,864.0,14.6,Female
33,143,957.0,23.0,Male
23,138,622.0,16.7,Male
37,135,625.0,14.3,Male
35,135,603.0,15.7,Male
29,105,773.0,18.8,Male
35,155,914.0,17.9,Male
41,137,967.0,7.7,Female
36,154,599.0,16.0,Female
31,116,1006.0,19.4,Female
26,133,708.0,20.4,Male
58,120,978.0,25.5,Male
33,107,837.0,25.5,Female
37,142,933.0,17.4,Female
44,114,1108.0,8.8,Female
38,132,716.0,16.9,Male
32,113,1002.0,13.2,Female
37,108,1196.0,19.5,Female
26,114,809.0,26.8,Female
36,124,1294.0,25.9,Male
34,131,884.0,22.9,Male
47,119,1000.0,15.2,Male
43,126,,11.0,Male
39,135,1239.0,15.8,Female
36,118,1082.0,14.5,Female
43,127,797.0,17.0,Male
29,138,617.0,11.5,Male
36,143,1318.0,27.7,Male
26,137,927.0,11.2,Other
34,158,1140.0,11.2,Female
23,105,782.0,20.3,Female
35,134,1056.0,20.4,Female
31,120,629.0,24.7,Male
30,127,1022.0,18.9,Female
28,153,846.0,30.1,Male
43,100,448.0,22.0,Female
37,114,951.0,23.9,Male
18,155,946.0,18.7,Male
31,141,,27.1,Male
36,127,1051.0,11.1,Female
38,135,1334.0,23.5,Female
37,127,823.0,13.0,Male
28,117,499.0,20.2,Female
38,132,1076.0,16.4,Female
44,125,810.0,12.3,Female
44,135,1012.0,23.3,Male
34,125,1111.0,18.8,Female
40,132,1262.0,17.8,Female
38,100,1076.0,18.9,Male
33,107,1003.0,22.4,Male
39,155,808.0,9.7,Female
33,138,904.0,18.2,Male
38,114,1045.0,24.0,Female
37,129,1126.0,21.8,Female
48,128,1057.0,19.1,Female
26,130,624.0,14.5,Male
33,136,1081.0,20.7,Female
43,118,710.0,18.6,Male
41,125,776.0,18.8,Female
29,143,852.0,17.1,Male
25,119,1039.0,17.6,Female
33,135,1446.0,18.9,Male
28,123,923.0,13.3,Male
28,128,1018.0,19.2,Female
36,125,278.0,12.6,Other
30,130,752.0,13.7,Female
29,90,994.0,17.9,Male
30,125,1115.0,21.4,Female
25,130,905.0,14.2,Male
38,127,1055.0,22.7,Male
34,125,892.0,12.0,Female
41,123,1148.0,16.2,Female
18,129,768.0,20.6,Male
19,122,1285.0,21.5,Female
29,152,892.0,11.6,Female
51,147,996.0,24.3,Female
40,153,595.0,25.7,Male
30,109,910.0,29.1,Female
37,124,788.0,27.3,Male
32,114,768.0,14.7,Female
33,91,661.0,13.6,Female
37,136,982.0,23.2,Male
26,141,1011.0,19.2,Other
26,121,821.0,15.1,Other
35,158,616.0,7.8,Female
26,106,778.0,14.2,Male
49,128,1286.0,22.5,Male
22,125,568.0,17.0,Male
48,124,,11.6,Female
33,159,614.0,20.3,Female
26,129,623.0,26.4,Female
21,119,973.0,18.5,Male
24,121,871.0,16.6,Female
31,131,565.0,20.4,Female
25,107,978.0,18.0,Male
22,124,1140.0,13.4,Male
38,116,880.0,20.6,Male
49,150,1147.0,14.6,Male
39,148,878.0,17.6,Female
40,111,1067.0,28.2,Female
33,132,175.0,23.5,Male
45,107,1022.0,10.9,Female
40,102,929.0,25.7,Male
32,133,1148.0,16.7,Male
18,123,913.0,24.9,Male
32,97,679.0,15.5,Male
35,134,1007.0,13.5,Female
37,108,1131.0,16.1,Male
33,132,914.0,9.4,Male
25,117,451.0,29.9,Male
37,93,1027.0,18.5,Male
35,149,675.0,12.3,Male
37,128,751.0,9.5,Female
32,137,1020.0,20.2,Female
26,137,906.0,24.6,Male
36,140,914.0,8.1,Female
35,123,934.0,17.3,Male
34,139,838.0,26.9,Female
28,114,1004.0,20.3,Male
32,136,672.0,17.7,Male
22,139,551.0,19.0,Male
24,120,1021.0,14.4,Female
33,121,1071.0,18.0,Male
45,137,733.0,17.8,Male
30,117,1035.0,26.4,Female
34,120,647.0,14.8,Other
35,129,817.0,15.6,Male
36,134,1066.0,17.4,Female
42,118,630.0,17.6,Male
27,110,960.0,28.2,Male
40,120,810.0,24.9,Other
47,135,769.0,27.0,Female
28,149,707.0,17.5,Other
34,120,1198.0,18.7,Male
42,132,1047.0,14.8,Male
33,142,717.0,17.3,Male
49,117,,18.4,Male
41,173,748.0,13.6,Male
33,134,896.0,17.3,Male
22,118,954.0,19.3,Male
31,104,1036.0,18.9,Female
18,152,819.0,22.2,Male
39,159,629.0,19.2,Female
42,100,708.0,11.9,Female
34,137,726.0,17.9,Male
22,140,1120.0,17.0,Male
31,138,1182.0,16.9,Female
31,129,1003.0,20.1,Male
40,148,717.0,25.6,Female
29,125,,19.3,Male
18,115,410.0,16.3,Male
